Warehouse,StoreID,SKU,QTY,UOM
,1,9FFwEf,-2,gal
,1,V9hDyY,9,qt
,1,QIb1Te,3,gal
,1,Xd4sZA,16,gal
,1,1X3p2H,7,qt
,1,pCjr1R,3,qt
,1,fvBBXY,0,gal
,1,LRN0uO,2,qt
,1,J4fMRf,0,qt
,1,8CnCaM,18,gal
,1,YnyFQq,14,qt
,1,K8gkI8,14,gal
,1,XkiZ9D,17,qt
,1,IWoDZ7,2,gal
,1,AcIRu7,15,gal
,1,g0RPTY,7,qt
,1,iYvFyn,11,qt
,1,RZZSxq,10,gal
,1,HHY1ds,13,gal
,1,TwErrn,8,qt
,2,9FFwEf,3,gal
,2,V9hDyY,2,gal
,2,QIb1Te,6,gal
,2,Xd4sZA,-1,qt
,2,1X3p2H,8,qt
,2,pCjr1R,16,qt
,2,fvBBXY,5,qt
,2,LRN0uO,12,qt
,2,J4fMRf,17,gal
,2,8CnCaM,19,qt
,2,YnyFQq,2,qt
,2,K8gkI8,7,gal
,2,XkiZ9D,16,gal
,2,IWoDZ7,19,gal
,2,AcIRu7,6,gal
,2,g0RPTY,15,gal
,2,iYvFyn,-1,gal
,2,RZZSxq,13,gal
,2,HHY1ds,7,gal
,2,TwErrn,12,qt
,3,9FFwEf,-2,gal
,3,V9hDyY,13,qt
,3,QIb1Te,15,qt
,3,Xd4sZA,11,gal
,3,1X3p2H,7,qt
,3,pCjr1R,15,gal
,3,fvBBXY,-2,gal
,3,LRN0uO,-1,gal
,3,J4fMRf,5,qt
,3,8CnCaM,3,qt
,3,YnyFQq,20,gal
,3,K8gkI8,9,gal
,3,XkiZ9D,11,gal
,3,IWoDZ7,10,gal
,3,AcIRu7,17,qt
,3,g0RPTY,-2,gal
,3,iYvFyn,15,qt
,3,RZZSxq,18,gal
,3,HHY1ds,-1,qt
,3,TwErrn,16,qt
,4,9FFwEf,-2,qt
,4,V9hDyY,19,gal
,4,QIb1Te,5,gal
,4,Xd4sZA,18,gal
,4,1X3p2H,7,qt
,4,pCjr1R,12,qt
,4,fvBBXY,19,qt
,4,LRN0uO,6,qt
,4,J4fMRf,11,gal
,4,8CnCaM,11,gal
,4,YnyFQq,16,qt
,4,K8gkI8,17,gal
,4,XkiZ9D,19,qt
,4,IWoDZ7,-3,qt
,4,AcIRu7,0,qt
,4,g0RPTY,5,gal
,4,iYvFyn,19,qt
,4,RZZSxq,12,gal
,4,HHY1ds,16,qt
,4,TwErrn,5,gal
,5,9FFwEf,15,qt
,5,V9hDyY,4,gal
,5,QIb1Te,14,qt
,5,Xd4sZA,9,gal
,5,1X3p2H,5,qt
,5,pCjr1R,14,gal
,5,fvBBXY,16,qt
,5,LRN0uO,20,gal
,5,J4fMRf,4,gal
,5,8CnCaM,5,qt
,5,YnyFQq,17,qt
,5,K8gkI8,20,gal
,5,XkiZ9D,10,gal
,5,IWoDZ7,19,qt
,5,AcIRu7,12,gal
,5,g0RPTY,0,qt
,5,iYvFyn,19,gal
,5,RZZSxq,7,qt
,5,HHY1ds,4,qt
,5,TwErrn,11,gal
,6,9FFwEf,19,qt
,6,V9hDyY,11,gal
,6,QIb1Te,7,gal
,6,Xd4sZA,15,qt
,6,1X3p2H,-1,qt
,6,pCjr1R,9,gal
,6,fvBBXY,6,gal
,6,LRN0uO,19,gal
,6,J4fMRf,16,qt
,6,8CnCaM,14,gal
,6,YnyFQq,14,gal
,6,K8gkI8,9,gal
,6,XkiZ9D,-3,qt
,6,IWoDZ7,-3,gal
,6,AcIRu7,-2,qt
,6,g0RPTY,7,gal
,6,iYvFyn,-3,qt
,6,RZZSxq,8,gal
,6,HHY1ds,6,qt
,6,TwErrn,19,gal
,7,9FFwEf,17,gal
,7,V9hDyY,1,gal
,7,QIb1Te,-2,qt
,7,Xd4sZA,14,gal
,7,1X3p2H,15,gal
,7,pCjr1R,17,gal
,7,fvBBXY,8,gal
,7,LRN0uO,2,gal
,7,J4fMRf,-1,qt
,7,8CnCaM,13,qt
,7,YnyFQq,1,gal
,7,K8gkI8,8,gal
,7,XkiZ9D,-2,gal
,7,IWoDZ7,-3,gal
,7,AcIRu7,20,gal
,7,g0RPTY,5,qt
,7,iYvFyn,12,qt
,7,RZZSxq,5,gal
,7,HHY1ds,4,gal
,7,TwErrn,6,qt
,8,9FFwEf,20,qt
,8,V9hDyY,7,qt
,8,QIb1Te,3,qt
,8,Xd4sZA,6,gal
,8,1X3p2H,1,gal
,8,pCjr1R,9,gal
,8,fvBBXY,-1,qt
,8,LRN0uO,14,qt
,8,J4fMRf,9,gal
,8,8CnCaM,14,qt
,8,YnyFQq,-3,gal
,8,K8gkI8,-1,qt
,8,XkiZ9D,9,gal
,8,IWoDZ7,11,qt
,8,AcIRu7,-3,gal
,8,g0RPTY,13,qt
,8,iYvFyn,12,qt
,8,RZZSxq,16,qt
,8,HHY1ds,2,qt
,8,TwErrn,-1,gal
,9,9FFwEf,18,qt
,9,V9hDyY,20,qt
,9,QIb1Te,17,gal
,9,Xd4sZA,19,qt
,9,1X3p2H,16,gal
,9,pCjr1R,2,qt
,9,fvBBXY,20,qt
,9,LRN0uO,3,qt
,9,J4fMRf,10,gal
,9,8CnCaM,0,gal
,9,YnyFQq,2,qt
,9,K8gkI8,3,qt
,9,XkiZ9D,9,qt
,9,IWoDZ7,-1,gal
,9,AcIRu7,13,qt
,9,g0RPTY,16,qt
,9,iYvFyn,9,qt
,9,RZZSxq,18,gal
,9,HHY1ds,10,qt
,9,TwErrn,14,qt
,10,9FFwEf,4,qt
,10,V9hDyY,7,gal
,10,QIb1Te,0,qt
,10,Xd4sZA,6,qt
,10,1X3p2H,5,gal
,10,pCjr1R,12,gal
,10,fvBBXY,4,gal
,10,LRN0uO,3,qt
,10,J4fMRf,8,gal
,10,8CnCaM,1,gal
,10,YnyFQq,17,gal
,10,K8gkI8,16,qt
,10,XkiZ9D,-3,qt
,10,IWoDZ7,4,qt
,10,AcIRu7,17,qt
,10,g0RPTY,10,qt
,10,iYvFyn,1,gal
,10,RZZSxq,20,qt
,10,HHY1ds,1,gal
,10,TwErrn,-2,gal
,11,9FFwEf,6,gal
,11,V9hDyY,8,gal
,11,QIb1Te,11,qt
,11,Xd4sZA,1,qt
,11,1X3p2H,11,qt
,11,pCjr1R,10,qt
,11,fvBBXY,8,qt
,11,LRN0uO,17,gal
,11,J4fMRf,-3,qt
,11,8CnCaM,18,qt
,11,YnyFQq,4,qt
,11,K8gkI8,13,gal
,11,XkiZ9D,3,gal
,11,IWoDZ7,7,qt
,11,AcIRu7,0,gal
,11,g0RPTY,4,qt
,11,iYvFyn,12,gal
,11,RZZSxq,6,qt
,11,HHY1ds,4,gal
,11,TwErrn,14,qt
,12,9FFwEf,18,qt
,12,V9hDyY,7,gal
,12,QIb1Te,15,gal
,12,Xd4sZA,20,gal
,12,1X3p2H,0,gal
,12,pCjr1R,17,gal
,12,fvBBXY,16,qt
,12,LRN0uO,3,gal
,12,J4fMRf,13,qt
,12,8CnCaM,9,qt
,12,YnyFQq,19,qt
,12,K8gkI8,20,gal
,12,XkiZ9D,12,gal
,12,IWoDZ7,14,qt
,12,AcIRu7,-1,qt
,12,g0RPTY,-3,qt
,12,iYvFyn,-1,qt
,12,RZZSxq,4,gal
,12,HHY1ds,13,qt
,12,TwErrn,5,gal
,13,9FFwEf,8,qt
,13,V9hDyY,5,qt
,13,QIb1Te,20,gal
,13,Xd4sZA,14,gal
,13,1X3p2H,9,gal
,13,pCjr1R,-1,gal
,13,fvBBXY,2,gal
,13,LRN0uO,14,gal
,13,J4fMRf,7,gal
,13,8CnCaM,18,gal
,13,YnyFQq,7,gal
,13,K8gkI8,-1,gal
,13,XkiZ9D,8,gal
,13,IWoDZ7,9,gal
,13,AcIRu7,12,qt
,13,g0RPTY,5,gal
,13,iYvFyn,19,qt
,13,RZZSxq,3,qt
,13,HHY1ds,15,qt
,13,TwErrn,16,gal
TRUE,1,9FFwEf,3,case
TRUE,1,V9hDyY,1,buypack
TRUE,1,QIb1Te,2,case
TRUE,1,Xd4sZA,1,buypack
TRUE,1,1X3p2H,1,case
TRUE,1,pCjr1R,2,buypack
TRUE,1,fvBBXY,2,case
TRUE,1,LRN0uO,2,case
TRUE,1,J4fMRf,2,case
TRUE,1,8CnCaM,2,buypack
TRUE,1,YnyFQq,3,buypack
TRUE,1,K8gkI8,2,case
TRUE,1,XkiZ9D,1,case
TRUE,1,IWoDZ7,1,buypack
TRUE,1,AcIRu7,1,buypack
TRUE,1,g0RPTY,1,buypack
TRUE,1,iYvFyn,2,case
